Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
388.9,3.15,53.01,4.0,1.0,0.0,8.0,0.7,2.0,27.0,-1.21
338.44,3.96,53.99,5.0,0.0,0.0,4.0,0.57,0.0,24.0,2.52
284.35,2.64,53.99,5.0,0.0,0.0,0.0,0.51,0.0,20.0,2.66
344.85,5.38,17.82,2.0,0.0,1.0,4.0,0.45,4.0,25.0,-0.58
306.28,0.74,81.65,7.0,1.0,0.0,5.0,0.75,3.0,22.0,-0.86
651.89,3.74,124.33,5.0,1.0,1.0,17.0,0.16,1.0,47.0,0.52
292.25,1.73,107.77,7.0,1.0,0.0,3.0,0.3,1.0,21.0,-1.02
304.33,2.43,77.52,7.0,1.0,0.0,2.0,0.52,2.0,21.0,-1.31
190.16,1.44,76.0,3.0,1.0,0.0,1.0,0.55,2.0,14.0,-0.98
376.49,4.35,61.83,5.0,0.0,0.0,2.0,0.53,0.0,27.0,2.79
380.43,4.1,77.52,7.0,1.0,0.0,3.0,0.42,3.0,27.0,-1.55
308.29,2.02,107.77,7.0,1.0,0.0,7.0,0.2,1.0,22.0,-1.17
303.27,0.99,113.28,6.0,3.0,0.0,2.0,0.43,2.0,22.0,-0.96
190.16,1.44,76.0,3.0,1.0,0.0,1.0,0.55,2.0,14.0,-0.79
203.2,1.3,51.32,3.0,1.0,0.0,0.0,0.7,2.0,15.0,-0.18
218.28,2.05,32.67,4.0,0.0,0.0,0.0,0.58,0.0,15.0,0.87
229.24,1.74,62.13,4.0,1.0,0.0,1.0,0.69,3.0,17.0,-0.35
278.34,3.8,45.75,3.0,1.0,0.0,1.0,0.58,4.0,20.0,-1.2
160.18,1.11,58.88,2.0,2.0,0.0,0.0,0.57,2.0,12.0,-0.12
230.29,2.46,34.89,4.0,0.0,0.0,0.0,0.59,3.0,16.0,-1.22
292.25,1.73,107.77,7.0,1.0,0.0,3.0,0.3,1.0,21.0,-1.14
292.25,1.73,107.77,7.0,1.0,0.0,3.0,0.3,1.0,21.0,-1.01
305.29,1.59,83.09,7.0,1.0,0.0,2.0,0.5,1.0,22.0,-0.75
318.35,2.74,77.52,7.0,1.0,0.0,2.0,0.52,2.0,22.0,-1.53
288.26,1.09,106.2,7.0,2.0,0.0,2.0,0.48,2.0,21.0,-1.31
380.43,4.1,77.52,7.0,1.0,0.0,3.0,0.42,3.0,27.0,-1.21
291.26,1.55,83.09,7.0,1.0,0.0,2.0,0.5,1.0,21.0,-0.54
289.33,2.04,64.63,5.0,1.0,0.0,3.0,0.68,1.0,21.0,-0.08
287.28,1.69,93.31,6.0,2.0,0.0,2.0,0.5,2.0,21.0,-1.29
331.33,2.03,93.9,8.0,1.0,0.0,3.0,0.52,2.0,24.0,-0.95
206.24,2.35,35.53,3.0,0.0,0.0,4.0,0.43,1.0,15.0,0.63
