Molecule ChEMBL ID,pIC50,Smiles
CHEMBL1000,3.940555158290521,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CHEMBL100210,4.443697499232713,CCCC[C@H]1C(=O)O[C@@H]2O[C@@]3(CC)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
CHEMBL100740,3.800519085137644,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3OC(C)(C)OO[C@@]32[C@H]1C
CHEMBL104,5.2426325115542785,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
CHEMBL1043,3.6564235932527565,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
CHEMBL106,3.8981377026257014,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL1076001,4.173925197299174,COc1cc2oc(=O)cc(-c3ccc(O)cc3)c2cc1OC
CHEMBL1076120,4.122978806607282,COc1ccc(-c2cc(=O)oc3ccc(OC)c(OC)c23)cc1OC
CHEMBL1076140,4.471833482524419,COc1cc2oc(=O)cc(-c3ccc(O)c(O)c3)c2c(OC)c1OC
CHEMBL1076142,5.179510971320834,COc1ccc(-c2cc(=O)oc3cc(OC)c(OC)c(OC)c23)cc1OC(C)=O
CHEMBL1076860,5.292429823902063,C#CCCC/C=C(\C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C
CHEMBL1077460,4.0,CC1(C)OC(=O)C(=CNc2ccc([N+](=O)[O-])cc2)C(=O)O1
CHEMBL1077470,4.048455006504028,CC1(C)OC(=O)C(=CNc2ccc3ncsc3c2)C(=O)O1
CHEMBL1077560,3.6989700043360187,O=c1cc[nH]c2ccc([N+](=O)[O-])cc12
CHEMBL1077773,5.455931955649724,CC(=O)O[C@@H]1O[C@H]2OC(=O)[C@H](C)C3=C([C@@]4(C)CCCC(C)(C)C4)CC[C@@H]1[C@H]32
CHEMBL1078340,3.6989700043360187,CC1(C)OC(=O)C(=CNc2cccc(-c3nc4ccccc4s3)c2)C(=O)O1
CHEMBL1078460,3.8010299956639813,CCOC(=O)C(=CNc1ccc([N+](=O)[O-])cc1)C(=O)OCC
