Molecule ChEMBL ID,SMILES,pIC50,Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.940555158290521,388.9,3.15,53.01,4.0,1.0,0.0,8.0,0.7,2.0,27.0,-1.21
CHEMBL100210,CCCC[C@H]1C(=O)O[C@@H]2O[C@@]3(CC)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,4.443697499232713,338.44,3.96,53.99,5.0,0.0,0.0,4.0,0.57,0.0,24.0,2.52
CHEMBL100740,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3OC(C)(C)OO[C@@]32[C@H]1C,3.800519085137644,284.35,2.64,53.99,5.0,0.0,0.0,0.0,0.51,0.0,20.0,2.66
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.242632511554279,344.85,5.38,17.82,2.0,0.0,1.0,4.0,0.45,4.0,25.0,-0.58
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,3.898137702625701,306.28,0.74,81.65,7.0,1.0,0.0,5.0,0.75,3.0,22.0,-0.86
CHEMBL1076860,C#CCCC/C=C(\C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C,5.292429823902063,651.89,3.74,124.33,5.0,1.0,1.0,17.0,0.16,1.0,47.0,0.52
CHEMBL1077460,CC1(C)OC(=O)C(=CNc2ccc([N+](=O)[O-])cc2)C(=O)O1,4.0,292.25,1.73,107.77,7.0,1.0,0.0,3.0,0.3,1.0,21.0,-1.02
CHEMBL1077470,CC1(C)OC(=O)C(=CNc2ccc3ncsc3c2)C(=O)O1,4.048455006504028,304.33,2.43,77.52,7.0,1.0,0.0,2.0,0.52,2.0,21.0,-1.31
CHEMBL1077560,O=c1cc[nH]c2ccc([N+](=O)[O-])cc12,3.6989700043360183,190.16,1.44,76.0,3.0,1.0,0.0,1.0,0.55,2.0,14.0,-0.98
CHEMBL1077773,CC(=O)O[C@@H]1O[C@H]2OC(=O)[C@H](C)C3=C([C@@]4(C)CCCC(C)(C)C4)CC[C@@H]1[C@H]32,5.455931955649724,376.49,4.35,61.83,5.0,0.0,0.0,2.0,0.53,0.0,27.0,2.79
CHEMBL1078340,CC1(C)OC(=O)C(=CNc2cccc(-c3nc4ccccc4s3)c2)C(=O)O1,3.6989700043360183,380.43,4.1,77.52,7.0,1.0,0.0,3.0,0.42,3.0,27.0,-1.55
CHEMBL1078460,CCOC(=O)C(=CNc1ccc([N+](=O)[O-])cc1)C(=O)OCC,3.801029995663981,308.29,2.02,107.77,7.0,1.0,0.0,7.0,0.2,1.0,22.0,-1.17
CHEMBL1078489,CC1(C)OC(=O)C(=CNc2ccc3[nH]c(=O)[nH]c3c2)C(=O)O1,3.6989700043360183,303.27,0.99,113.28,6.0,3.0,0.0,2.0,0.43,2.0,22.0,-0.96
CHEMBL1078566,O=c1cc[nH]c2c([N+](=O)[O-])cccc12,3.6989700043360183,190.16,1.44,76.0,3.0,1.0,0.0,1.0,0.55,2.0,14.0,-0.79
CHEMBL1078567,O=c1cc[nH]c2cc3c(cc12)OCCO3,3.6989700043360183,203.2,1.3,51.32,3.0,1.0,0.0,0.0,0.7,2.0,15.0,-0.18
CHEMBL1078568,CC1=NC2=CC=C3CC=CC(=O)C3N2S1,3.6989700043360183,218.28,2.05,32.67,4.0,0.0,0.0,0.0,0.58,0.0,15.0,0.87
CHEMBL1078769,CN(C)c1nc2cc3[nH]ccc(=O)c3cc2o1,3.801029995663981,229.24,1.74,62.13,4.0,1.0,0.0,1.0,0.69,3.0,17.0,-0.35
CHEMBL1078770,O=c1cc[nH]c2c(-c3nc4ccccc4s3)cccc12,3.6989700043360183,278.34,3.8,45.75,3.0,1.0,0.0,1.0,0.58,4.0,20.0,-1.2
CHEMBL1078771,Nc1ccc2[nH]ccc(=O)c2c1,3.6989700043360183,160.18,1.11,58.88,2.0,2.0,0.0,0.0,0.57,2.0,12.0,-0.12
CHEMBL1078847,Cc1nc2ccc3c(c(=O)ccn3C)c2s1,4.0,230.29,2.46,34.89,4.0,0.0,0.0,0.0,0.59,3.0,16.0,-1.22
CHEMBL1079692,CC1(C)OC(=O)C(=CNc2cccc([N+](=O)[O-])c2)C(=O)O1,4.0,292.25,1.73,107.77,7.0,1.0,0.0,3.0,0.3,1.0,21.0,-1.14
CHEMBL1079693,CC1(C)OC(=O)C(=CNc2ccccc2[N+](=O)[O-])C(=O)O1,3.6989700043360183,292.25,1.73,107.77,7.0,1.0,0.0,3.0,0.3,1.0,21.0,-1.01
CHEMBL1079864,CC1(C)OC(=O)C(=CNc2ccc3c(c2)OCCO3)C(=O)O1,3.6989700043360183,305.29,1.59,83.09,7.0,1.0,0.0,2.0,0.5,1.0,22.0,-0.75
CHEMBL1079865,Cc1nc2ccc(NC=C3C(=O)OC(C)(C)OC3=O)cc2s1,3.650514997831991,318.35,2.74,77.52,7.0,1.0,0.0,2.0,0.52,2.0,22.0,-1.53
CHEMBL1079866,CC1(C)OC(=O)C(=CNc2ccc3[nH]nnc3c2)C(=O)O1,3.6989700043360183,288.26,1.09,106.2,7.0,2.0,0.0,2.0,0.48,2.0,21.0,-1.31
CHEMBL1080590,CC1(C)OC(=O)C(=CNc2ccccc2-c2nc3ccccc3s2)C(=O)O1,3.801029995663981,380.43,4.1,77.52,7.0,1.0,0.0,3.0,0.42,3.0,27.0,-1.21
CHEMBL1080591,CC1(C)OC(=O)C(=CNc2ccc3c(c2)OCO3)C(=O)O1,4.349485002168009,291.26,1.55,83.09,7.0,1.0,0.0,2.0,0.5,1.0,21.0,-0.54
CHEMBL1080592,CC1(C)OC(=O)C(CNc2ccc3c(c2)CCC3)C(=O)O1,3.6989700043360183,289.33,2.04,64.63,5.0,1.0,0.0,3.0,0.68,1.0,21.0,-0.08
CHEMBL1081141,CC1(C)OC(=O)C(=CNc2ccc3cn[nH]c3c2)C(=O)O1,4.0,287.28,1.69,93.31,6.0,2.0,0.0,2.0,0.5,2.0,21.0,-1.29
CHEMBL1081142,CN(C)c1nc2ccc(NC=C3C(=O)OC(C)(C)OC3=O)cc2o1,4.0,331.33,2.03,93.9,8.0,1.0,0.0,3.0,0.52,2.0,24.0,-0.95
CHEMBL108299,C=CCc1ccc(OC(C)=O)c(OC)c1,3.780101260955034,206.24,2.35,35.53,3.0,0.0,0.0,4.0,0.43,1.0,15.0,0.63
CHEMBL1088458,C/C(=C\C=C\C[C@H](C)C(Cl)(Cl)Cl)C(=O)N[C@H](c1nccs1)C(C)C,5.229147988357855,409.81,5.86,41.99,3.0,1.0,1.0,7.0,0.35,1.0,24.0,0.56
CHEMBL108861,C=CCc1ccc(OC)c(OC)c1,3.322895148265692,178.23,2.43,18.46,2.0,0.0,0.0,4.0,0.66,1.0,13.0,0.38
CHEMBL1094051,N#CCN(CCCCN1CCN(c2ccc(F)cc2)CC1)C(=O)OCc1ccccc1,4.326823512774681,424.52,3.89,59.81,5.0,0.0,0.0,9.0,0.45,2.0,31.0,-1.69
CHEMBL1094304,CC[C@H](CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,4.204815410317576,370.46,2.91,108.12,8.0,4.0,0.0,8.0,0.48,3.0,27.0,-0.56
CHEMBL1095956,C=CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C,5.721246399047171,727.0,3.88,153.43,6.0,2.0,1.0,21.0,0.14,1.0,52.0,0.68
CHEMBL1096627,COc1c(C(C)C)cc2c(c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2,6.1249387366083,346.47,4.62,66.76,3.0,2.0,0.0,3.0,0.84,1.0,25.0,2.23
CHEMBL1097665,CC(=O)CCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C,4.8696662315049934,743.0,3.28,170.5,7.0,2.0,1.0,21.0,0.18,1.0,53.0,0.62
CHEMBL1097666,C#CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C,5.619788758288394,724.99,3.32,153.43,6.0,2.0,1.0,20.0,0.16,1.0,52.0,0.56
CHEMBL1097667,CCCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C,4.863279432843593,729.02,4.1,153.43,6.0,2.0,1.0,21.0,0.18,1.0,52.0,0.57
CHEMBL1097668,C#CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C,5.795880017344075,739.01,3.67,144.64,6.0,1.0,1.0,20.0,0.16,1.0,53.0,0.46
CHEMBL1097669,C#CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)C)C(C)C)C(C)C)C(C)C,5.638272163982407,767.07,4.27,121.86,6.0,0.0,1.0,20.0,0.14,1.0,55.0,0.37
