iter	RMSE
0	0.8234989495
1	0.8143724009
2	0.8050954158
3	0.7973605014
4	0.7894439285
5	0.7827314015
6	0.7764525663
7	0.7695223602
8	0.7630631148
9	0.7574601373
10	0.7522875963
11	0.7472910272
12	0.7431005287
13	0.738970332
14	0.7347023168
15	0.730741277
16	0.7266883213
17	0.7231644506
18	0.7199831427
19	0.7164827624
20	0.7133224803
21	0.7105170496
22	0.707607941
23	0.7043948128
24	0.7016768662
25	0.6996976783
26	0.6969597987
27	0.6950411642
28	0.6923533328
29	0.6900657601
30	0.6876969326
31	0.6856904434
32	0.6836793007
33	0.6817619181
34	0.6794187791
35	0.6779225727
36	0.6762262288
37	0.6745934934
38	0.673267156
39	0.6711824587
40	0.6690829809
41	0.6672432797
42	0.6652454989
43	0.6633950139
44	0.6615994312
45	0.6604381639
46	0.6589383188
47	0.6572073626
48	0.6556203329
49	0.654489578
50	0.6532069619
51	0.6516538679
52	0.6496077882
53	0.6483322216
54	0.6471394296
55	0.6456460078
56	0.6436329163
57	0.6424502039
58	0.6409269002
59	0.6396011473
60	0.6382217064
61	0.6364433773
62	0.6350900017
63	0.6336834733
64	0.6313860701
65	0.6299033503
66	0.6283890781
67	0.6272407105
68	0.6261933714
69	0.6250045091
70	0.6242959699
71	0.6232440739
72	0.6223171569
73	0.621386695
74	0.6204612594
75	0.6195516522
76	0.6187989792
77	0.6178783404
78	0.6169747058
79	0.6160954056
80	0.6151024781
81	0.6141772836
82	0.6129133644
83	0.6121458973
84	0.6113786403
85	0.610599016
86	0.6095757204
87	0.6087797697
88	0.6080575368
89	0.6072683619
90	0.6063098122
91	0.6055870093
92	0.6047953184
93	0.6037909501
94	0.602740312
95	0.6022211877
96	0.601562967
97	0.6000336732
98	0.5989465044
99	0.597620352
100	0.5968344959
101	0.5959201049
102	0.5946629894
103	0.5939097165
104	0.5933083377
105	0.5927049708
106	0.5921491654
107	0.5916350826
108	0.5905513597
109	0.5900020949
110	0.589503469
111	0.5887493844
112	0.5877072337
113	0.5869105514
114	0.586267701
115	0.5853858233
116	0.5844945652
117	0.583721296
118	0.5830998886
119	0.5825104491
120	0.5820026876
121	0.5808350267
122	0.5801719568
123	0.5794906713
124	0.5787576513
125	0.5781956412
126	0.5771141439
127	0.5764714017
128	0.5756464804
129	0.5743676506
130	0.5736571677
131	0.5727482477
132	0.5720572166
133	0.5715664794
134	0.5709023295
135	0.5702119473
136	0.5697981692
137	0.5690731704
138	0.5681829473
139	0.5672217757
140	0.5664638763
141	0.5658418106
142	0.5650104341
143	0.5643168098
144	0.5638696944
145	0.5631743846
146	0.5624786163
147	0.561841223
148	0.561195392
149	0.5603489896
150	0.5597322923
151	0.5591214592
152	0.5586628186
153	0.5580864072
154	0.5576629384
155	0.5572263934
156	0.5564685032
157	0.5556664761
158	0.5549796199
159	0.5537259624
160	0.5531738307
161	0.5526686666
162	0.5519847956
163	0.5514335499
164	0.5506082905
165	0.5496632962
166	0.5490095229
167	0.5484859696
168	0.5479940072
169	0.5471663461
170	0.546442626
171	0.5456868741
172	0.5448972123
173	0.5443183304
174	0.5438610904
175	0.542852984
176	0.541638157
177	0.540704949
178	0.5400328552
179	0.5394381129
180	0.5387484824
181	0.5379137649
182	0.5373801069
183	0.5365765822
184	0.5361059453
185	0.5353315558
186	0.5346064431
187	0.5339069343
188	0.5333398236
189	0.5325406265
190	0.5318066901
191	0.5311655166
192	0.5305224449
193	0.5299342195
194	0.5293714281
195	0.5285565697
196	0.5278563587
197	0.5271413478
198	0.5266374414
199	0.5259701908
200	0.5252457719
201	0.524539868
202	0.5240807113
203	0.5235082237
204	0.5228798973
205	0.5223140766
206	0.5216761107
207	0.5209942996
208	0.520371061
209	0.5199333646
210	0.5189001283
211	0.5183003986
212	0.5176409048
213	0.5169035328
214	0.5163011448
215	0.5155197848
216	0.5150570365
217	0.5145143189
218	0.5139485824
219	0.5134146811
220	0.5127706061
221	0.5122615428
222	0.5116970219
223	0.5111825793
224	0.5107802224
225	0.5101925139
226	0.5094291906
227	0.508858399
228	0.5083585435
229	0.5077918558
230	0.5070071367
231	0.5066064671
232	0.5060992653
233	0.5055867517
234	0.5048997006
235	0.5044286076
236	0.503961153
237	0.5034473789
238	0.5028810599
239	0.5021482729
240	0.5017430793
241	0.5010199053
242	0.5002733184
243	0.4995635696
244	0.4988768522
245	0.4982298036
246	0.4978109317
247	0.4970602019
248	0.4964270045
249	0.4957770187
250	0.4952678698
251	0.4947918002
252	0.4943207784
253	0.4936903704
254	0.4931975695
255	0.4924791742
256	0.4919123349
257	0.4913304298
258	0.4909350368
259	0.4904079537
260	0.4900010612
261	0.4895603647
262	0.4889211424
263	0.4882878544
264	0.4877729945
265	0.4872756486
266	0.4866647569
267	0.4859002623
268	0.4854529035
269	0.4850183529
270	0.484503863
271	0.4841059837
272	0.4834531511
273	0.4829335436
274	0.4825030268
275	0.4817916476
276	0.4813901753
277	0.4808873345
278	0.4802679404
279	0.4796891627
280	0.4791863309
281	0.4787855818
282	0.4781581414
283	0.4776282254
284	0.4769990875
285	0.4764413114
286	0.4757126554
287	0.4751460424
288	0.4747324666
289	0.4742621134
290	0.473878111
291	0.4734237724
292	0.4729246038
293	0.4727183028
294	0.4722779122
295	0.4717893147
296	0.4713106895
297	0.4708809148
298	0.4703809919
299	0.4699420152
