iter	Passed	Remaining
0	7	2239
1	16	2464
2	25	2521
3	34	2548
4	43	2551
5	52	2559
6	61	2559
7	69	2542
8	78	2543
9	87	2543
10	96	2538
11	105	2528
12	114	2531
13	123	2529
14	146	2789
15	155	2755
16	163	2730
17	172	2708
18	182	2702
19	191	2686
20	200	2664
21	210	2656
22	219	2642
23	235	2707
24	244	2686
25	253	2670
26	262	2654
27	271	2641
28	281	2629
29	290	2616
30	299	2602
31	308	2583
32	318	2573
33	327	2559
34	336	2544
35	345	2530
36	354	2516
37	363	2503
38	372	2490
39	381	2478
40	391	2471
41	400	2457
42	409	2444
43	417	2431
44	427	2421
45	436	2411
46	445	2398
47	454	2385
48	462	2371
49	471	2359
50	480	2347
51	490	2338
52	499	2327
53	508	2314
54	517	2303
55	526	2296
56	536	2286
57	545	2276
58	554	2265
59	563	2253
60	572	2242
61	581	2231
62	589	2219
63	599	2209
64	607	2197
65	616	2186
66	626	2178
67	635	2167
68	643	2155
69	652	2144
70	661	2134
71	671	2125
72	680	2115
73	689	2105
74	698	2094
75	707	2083
76	715	2072
77	724	2063
78	734	2055
79	744	2046
80	753	2035
81	761	2024
82	771	2016
83	780	2008
84	789	1997
85	798	1987
86	807	1977
87	816	1967
88	826	1958
89	836	1951
90	846	1944
91	856	1935
92	865	1927
93	875	1918
94	885	1910
95	895	1902
96	904	1892
97	914	1884
98	924	1877
99	935	1870
100	944	1860
101	953	1850
102	962	1841
103	972	1832
104	981	1823
105	990	1812
106	999	1802
107	1008	1792
108	1018	1783
109	1026	1773
110	1036	1765
111	1045	1755
112	1054	1745
113	1064	1736
114	1073	1726
115	1081	1715
116	1090	1706
117	1099	1696
118	1108	1686
119	1117	1676
120	1126	1666
121	1135	1657
122	1144	1647
123	1154	1637
124	1162	1628
125	1171	1618
126	1181	1609
127	1190	1599
128	1199	1589
129	1208	1579
130	1216	1569
131	1225	1560
132	1234	1550
133	1243	1540
134	1252	1530
135	1261	1521
136	1270	1511
137	1279	1501
138	1288	1492
139	1297	1482
140	1306	1473
141	1316	1464
142	1325	1454
143	1333	1444
144	1343	1435
145	1352	1426
146	1361	1416
147	1369	1406
148	1378	1397
149	1387	1387
150	1396	1377
151	1405	1368
152	1414	1359
153	1423	1349
154	1432	1340
155	1441	1330
156	1451	1321
157	1460	1312
158	1469	1303
159	1485	1299
160	1494	1290
161	1503	1280
162	1511	1270
163	1521	1261
164	1530	1252
165	1539	1242
166	1549	1233
167	1558	1224
168	1567	1214
169	1576	1205
170	1585	1196
171	1594	1186
172	1603	1177
173	1612	1167
174	1621	1158
175	1630	1149
176	1640	1139
177	1649	1130
178	1659	1121
179	1668	1112
180	1683	1106
181	1691	1096
182	1700	1087
183	1710	1078
184	1719	1068
185	1729	1060
186	1738	1050
187	1747	1041
188	1757	1032
189	1766	1022
190	1775	1012
191	1783	1003
192	1792	993
193	1802	984
194	1811	975
195	1820	965
196	1830	957
197	1839	947
198	1849	938
199	1859	929
200	1869	920
201	1877	911
202	1886	901
203	1896	892
204	1905	882
205	1914	873
206	1923	864
207	1932	854
208	1941	845
209	1950	835
210	1960	827
211	1969	817
212	1978	808
213	1988	798
214	1996	789
215	2005	780
216	2014	770
217	2023	761
218	2033	751
219	2042	742
220	2051	733
221	2061	724
222	2069	714
223	2078	705
224	2086	695
225	2095	686
226	2104	676
227	2114	667
228	2123	658
229	2132	648
230	2141	639
231	2150	630
232	2159	620
233	2168	611
234	2177	602
235	2186	593
236	2195	583
237	2204	574
238	2212	564
239	2221	555
240	2230	545
241	2238	536
242	2248	527
243	2258	518
244	2267	508
245	2275	499
246	2284	490
247	2294	481
248	2303	471
249	2312	462
250	2321	453
251	2330	443
252	2339	434
253	2348	425
254	2357	416
255	2366	406
256	2376	397
257	2385	388
258	2394	379
259	2403	369
260	2412	360
261	2421	351
262	2430	341
263	2439	332
264	2448	323
265	2457	314
266	2467	304
267	2476	295
268	2485	286
269	2494	277
270	2503	267
271	2512	258
272	2522	249
273	2530	240
274	2540	230
275	2549	221
276	2558	212
277	2567	203
278	2576	193
279	2585	184
280	2594	175
281	2603	166
282	2611	156
283	2620	147
284	2630	138
285	2639	129
286	2648	119
287	2657	110
288	2667	101
289	2677	92
290	2685	83
291	2694	73
292	2708	64
293	2717	55
294	2725	46
295	2734	36
296	2744	27
297	2753	18
298	2762	9
299	2771	0
