Compound_1,Compound_2,Similarity,Delta_pIC50,pIC50_1,pIC50_2
CHEMBL1213505,CHEMBL1213587,0.8032786885245902,1.653212513775344,4.346787486224656,6.0
CHEMBL1213587,CHEMBL1213589,0.8064516129032258,1.6517600184536398,6.0,4.34823998154636
CHEMBL165097,CHEMBL165562,0.9736842105263158,1.6197887582883936,4.0,5.619788758288394
CHEMBL1214455,CHEMBL1214461,0.8888888888888888,1.4063731762089002,5.886056647693163,7.292429823902063
CHEMBL164620,CHEMBL166026,0.9782608695652174,1.2668027348934308,5.266802734893431,4.0
CHEMBL1165207,CHEMBL1165357,0.8222222222222222,1.2418642069017536,3.076894555722659,4.318758762624412
CHEMBL1213626,CHEMBL134479,0.8387096774193549,1.1307682802690238,4.301029995663981,5.431798275933005
CHEMBL134479,CHEMBL135805,0.8387096774193549,1.1281546646663374,5.431798275933005,4.303643611266668
CHEMBL1213548,CHEMBL1213626,0.8387096774193549,1.0969100130080562,5.3979400086720375,4.301029995663981
CHEMBL1213548,CHEMBL135805,0.8387096774193549,1.0942963974053699,5.3979400086720375,4.303643611266668
CHEMBL1213505,CHEMBL134479,0.8064516129032258,1.085010789708349,4.346787486224656,5.431798275933005
CHEMBL163962,CHEMBL165668,0.8085106382978723,1.0835460514500745,5.0835460514500745,4.0
CHEMBL163962,CHEMBL165411,0.9777777777777777,1.0835460514500745,5.0835460514500745,4.0
CHEMBL1165208,CHEMBL1165357,0.8043478260869565,1.0792126597534226,3.2395461028709898,4.318758762624412
CHEMBL1213549,CHEMBL1213587,0.819672131147541,1.079181246047625,4.920818753952375,6.0
CHEMBL1688653,CHEMBL1688672,0.8,1.076921252316727,4.161150909262744,5.238072161579471
CHEMBL1213587,CHEMBL135951,0.819672131147541,1.075546961392531,6.0,4.924453038607469
CHEMBL165221,CHEMBL165632,1.0,1.0619997844820936,5.407823242604133,4.345823458122039
CHEMBL164588,CHEMBL165668,0.975609756097561,1.0604807473813818,5.060480747381382,4.0
CHEMBL164588,CHEMBL165411,0.8085106382978723,1.0604807473813818,5.060480747381382,4.0
CHEMBL1213505,CHEMBL1213548,0.8064516129032258,1.0511525224473814,4.346787486224656,5.3979400086720375
CHEMBL1688653,CHEMBL1688658,0.9814814814814815,1.0464574012390013,4.161150909262744,5.207608310501746
CHEMBL1688651,CHEMBL1688658,0.8571428571428571,1.0401172232079823,4.167491087293763,5.207608310501746
CHEMBL1688652,CHEMBL1688658,0.9272727272727272,1.027152246043614,4.180456064458132,5.207608310501746
