Feature,Mean_Abs_SHAP
AlogP,0.13698764
Heavy_Atoms,0.040824812
TPSA,0.03894217
337,0.03290745
QED,0.029968357
HBD,0.028088622
961,0.027612347
694,0.021864653
448,0.018911028
NP_Likeness,0.018585864
491,0.017369635
Molecular_Weight,0.014727778
43,0.013892903
60,0.013535726
514,0.012705281
880,0.01269933
561,0.0125471065
Aromatic_Rings,0.012006376
759,0.012000372
Rotatable_Bonds,0.011896799
725,0.0115081165
325,0.0103058275
949,0.009957335
82,0.0094006155
343,0.00918416
593,0.009024646
431,0.008556326
827,0.008497123
939,0.008467543
960,0.008342651
623,0.007460996
807,0.0074421642
352,0.0071828403
498,0.0070993216
664,0.0067350105
294,0.0064656395
842,0.0064161676
673,0.0063435985
334,0.0062539377
HBA,0.0062289736
216,0.006119379
659,0.0061151832
275,0.006046568
650,0.006007212
881,0.00594236
47,0.005623416
987,0.005596776
270,0.005513356
841,0.005208731
785,0.0050498773
926,0.0050087967
131,0.005007977
248,0.0048495014
771,0.0047595003
162,0.004754726
404,0.0047273273
1020,0.0046849307
199,0.0046826107
717,0.0045165066
831,0.0044981586
171,0.004414147
730,0.0043676137
235,0.004347886
208,0.004288672
119,0.004281868
157,0.004220439
80,0.0041630613
25,0.00410035
585,0.004084848
165,0.0040666
602,0.0039548115
912,0.0038693226
312,0.0038571728
741,0.0038552454
285,0.0038358022
575,0.0038213625
324,0.0037750355
838,0.0037428674
778,0.0037377449
803,0.0037320668
237,0.0036668184
865,0.0036332386
428,0.0036293105
249,0.0035769115
255,0.0035677135
339,0.0035307019
156,0.0035237507
656,0.0034688294
191,0.0034651873
463,0.0034111808
RO5_Violations,0.0033858751
34,0.0033844712
99,0.0033720909
687,0.003367978
407,0.0032754017
33,0.0032586756
683,0.0031537225
714,0.0030674317
110,0.003053193
319,0.0030336303
786,0.0029780522
980,0.0029348054
663,0.0028903831
583,0.0028864816
710,0.0028583882
896,0.0028261114
578,0.0028190094
1004,0.002809049
706,0.0027261996
948,0.0026417444
137,0.0025976123
626,0.0025888938
412,0.0025380556
145,0.0025040673
27,0.00250193
438,0.0025010675
379,0.0024406076
846,0.0024216915
257,0.002403594
751,0.0024016288
690,0.0023937481
878,0.0023414975
570,0.0023386702
478,0.0023354637
918,0.0023289677
528,0.0023127845
579,0.0023045822
266,0.0022526619
711,0.0022319315
524,0.0022021763
883,0.0021699714
256,0.0021160876
646,0.002090905
289,0.0020732617
361,0.0020629095
83,0.0020563055
474,0.0020419091
799,0.0020398172
940,0.0020289733
755,0.0020254974
378,0.0020201055
6,0.002006084
385,0.0019891758
616,0.0019884254
582,0.0019661416
521,0.0019588515
177,0.0019400631
44,0.0019307198
893,0.0019212253
935,0.0019074973
244,0.0018725583
79,0.0018701215
957,0.0018490705
963,0.0018237974
243,0.001791145
1019,0.0017851947
543,0.0017804389
292,0.001763391
769,0.0017579024
239,0.0017532164
360,0.0017484773
206,0.0017407974
153,0.0017388646
359,0.0017330539
562,0.0017213713
322,0.0017135516
701,0.0017069379
144,0.0016858503
832,0.0016637752
430,0.0016622869
876,0.00165271
14,0.0016286873
210,0.0016286457
282,0.001625751
625,0.0016184049
734,0.0016031866
454,0.0015909205
306,0.0015490375
64,0.0015278197
138,0.0015123057
70,0.0014908237
983,0.0014901496
7,0.0014739607
314,0.0014555826
98,0.001452738
875,0.0014294937
326,0.001428006
552,0.0014251586
136,0.0014171898
250,0.0014065257
899,0.0014021317
993,0.0013993677
48,0.0013884848
879,0.0013461995
901,0.001341488
693,0.0013410292
1009,0.0013289634
873,0.0013148384
226,0.0013042092
977,0.0012999666
441,0.0012977968
564,0.0012875122
504,0.001276948
621,0.0012717398
252,0.0012652912
984,0.0012642301
645,0.0012604243
192,0.0012350358
227,0.0012190219
281,0.0011965334
466,0.001193518
32,0.0011875769
888,0.0011841338
736,0.0011804829
13,0.0011746754
511,0.0011739332
401,0.001168913
163,0.0011632361
904,0.001151309
90,0.0011286412
874,0.0011244547
259,0.0010986632
890,0.0010919573
10,0.0010888092
472,0.0010859712
640,0.0010844021
205,0.0010759584
284,0.0010710489
96,0.0010675932
320,0.0010584865
104,0.0010509313
273,0.0010492512
84,0.0010372093
121,0.0010330391
496,0.0010267453
670,0.0010226885
938,0.0010190709
262,0.0010150503
792,0.001010249
749,0.0010090941
75,0.0010048703
107,0.0010017445
342,0.0009910583
479,0.0009794371
222,0.0009780492
1,0.0009753488
9,0.0009720031
520,0.00096905767
271,0.00096602755
53,0.0009599973
97,0.0009560181
584,0.00095497817
580,0.0009509542
674,0.00095038855
866,0.00094084896
951,0.00093235483
233,0.0009212742
125,0.00091598445
609,0.00091593823
377,0.00091435824
715,0.00091364566
843,0.0009095117
142,0.0009005474
668,0.0008971761
487,0.00089553103
720,0.000882412
698,0.0008812508
187,0.0008796484
1013,0.00087932736
175,0.00087832886
486,0.00087438774
574,0.0008702688
41,0.00085380813
164,0.00083956437
692,0.00083879865
776,0.00083719403
31,0.00082691066
828,0.0008245599
