Molecule ChEMBL ID,SMILES,pIC50
CHEMBL1165207,COc1ccc(C(=O)c2cc3cccc(OC)c3oc2=S)cc1,3.076894555722659
CHEMBL1165357,COc1cccc2cc(C(=O)c3ccc(Cl)cc3)c(=S)oc12,4.318758762624412
CHEMBL1213505,C[C@@H]1CC[C@H]2[C@H](CCCc3ccccc3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,4.346787486224656
CHEMBL1213548,C[C@@H]1CC[C@H]2[C@@H](CCCc3cccc(F)c3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,5.3979400086720375
CHEMBL1213587,CSc1ccc(CCC[C@H]2C(=O)O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]2[C@@]35OO4)cc1,6.0
CHEMBL1213589,C[C@@H]1CC[C@H]2[C@@H](CCCc3ccc(O)cc3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,4.34823998154636
CHEMBL1213626,C[C@@H]1CC[C@H]2[C@@H](CCCc3cc(F)cc(F)c3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,4.301029995663981
CHEMBL1214455,CC[C@@H](C(=O)C[C@@H](C)C1=C(O)C(=O)[C@@H]2C3=CC[C@H]4C[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,5.886056647693163
CHEMBL1214461,CC[C@@H](C(=O)C[C@@H](C)C1=C(O)C(=O)[C@@H]2C3=CC[C@H]4C[C@@H](O[C@@H]5O[C@H](C(=O)OC)[C@@H](O)[C@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,7.292429823902063
CHEMBL134479,C[C@@H]1CC[C@H]2[C@@H](CCCc3cccc(F)c3)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@]32OO4,5.431798275933005
CHEMBL135805,C[C@@H]1CC[C@H]2[C@@H](CCCc3cc(F)cc(F)c3)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@]32OO4,4.303643611266668
CHEMBL164620,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,5.266802734893431
CHEMBL165097,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1CCCCC1,4.0
CHEMBL165562,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1CCCCC1,5.619788758288394
CHEMBL166026,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,4.0
